frame,x,y
375.0,-31542.31162899428,-29355.61395820272
375.0,-31433.48282397313,-28499.157695837777
376.0,-31655.541490992266,-28625.649299948283
376.0,-32158.46634992022,-28557.43345984122
377.0,-31412.45683884865,-30349.34045410848
377.0,-31519.68392607245,-27506.54679455096
377.0,-31688.29176931974,-29126.218751861667
377.0,-30930.151414734333,-28447.5701077424
378.0,-31331.791887496143,-29873.708696160866
378.0,-31491.47658554765,-29348.36292019918
378.0,-31978.28930099156,-28936.118767573487
378.0,-31948.654113500223,-29055.34896785175
378.0,-32195.198308728457,-30473.868095179045
378.0,-32103.130922283966,-27538.034862524222
378.0,-32514.294496018767,-29253.917839182468
378.0,-30170.973845117747,-29071.076862945232
379.0,-31191.63889692888,-29968.875335204302
379.0,-31169.568298638445,-27463.99553827624
379.0,-31182.719878243664,-28483.067568341445
379.0,-32706.723923085017,-28374.75686206581
379.0,-31723.85796685256,-30175.314734400145
379.0,-31694.295717064742,-26936.25435308209
379.0,-32315.526738125343,-29031.760638183187
379.0,-30966.171402383658,-28585.44460164341
379.0,-31212.7824624432,-29914.8606440946
379.0,-31453.84728393318,-30293.13591494212
379.0,-31500.74458240529,-28236.07299776776
379.0,-32256.34933820217,-29359.105252902817
379.0,-32412.40646506701,-29767.425622923787
380.0,-31809.580511760127,-29262.79440542638
380.0,-31502.385105304955,-27470.032875583693
380.0,-31150.00052995933,-29925.848784435835
380.0,-30390.433643884822,-29874.761824382866
380.0,-31189.108407534317,-29140.8936494946
380.0,-33097.363077445865,-28310.125351270653
380.0,-31470.650263438005,-26996.95321728844
380.0,-32278.161400299094,-30536.998784415493
381.0,-31266.401653626,-29606.643300567222
381.0,-32122.238152061345,-29349.19129253286
381.0,-31617.90342888977,-26834.59591743948
381.0,-32960.07163913562,-28864.413054662808
381.0,-31812.91875857452,-28175.6918268219
381.0,-31397.081810599702,-30479.055534150124
381.0,-32147.66136497291,-30307.525572202558
382.0,-32376.88746191938,-29472.628807642337
382.0,-31217.117798920477,-29858.45658684136
382.0,-30947.93867689197,-30603.91483697784
382.0,-29914.577319264357,-27024.51864845172
382.0,-32130.381914063244,-28373.15161372945
382.0,-32733.38305654646,-29039.465476922847
382.0,-31242.367335827323,-29531.804784078828
382.0,-31731.92048472195,-28087.081831439253
382.0,-30446.174667095864,-29954.713039649207
383.0,-31958.86545725481,-29104.97503461188
383.0,-30772.79903624384,-28111.385477569485
383.0,-31491.9531748581,-30339.83985153102
383.0,-30230.696233531817,-30330.389056315937
383.0,-30566.16941959477,-29705.939889458317
383.0,-33700.70927938969,-28761.848172983144
383.0,-31103.031663838334,-27311.261226713257
384.0,-31561.744572074465,-28857.5435997302
384.0,-32799.87777621599,-30253.612648224745
384.0,-31334.865294781688,-29898.000248668963
